Date,HCLTECH,HINDALCO,ULTRACEMCO,UPL,JSWSTEEL,HDFCLIFE,NESTLEIND,TATACONSUM,TATASTEEL,GRASIM,KOTAKBANK,HDFC,HDFCBANK,ICICIBANK,DRREDDY,ADANIENT,BHARTIARTL,INFY,BRITANNIA,SBIN,AXISBANK,WIPRO,SBILIFE,LT,TECHM,BAJAJFINSV,TATAMOTORS,APOLLOHOSP,ONGC,BAJFINANCE,TITAN,BAJAJ-AUTO,M&M,ADANIPORTS,INDUSINDBK,BPCL,COALINDIA,RELIANCE,HINDUNILVR,DIVISLAB,TCS,HEROMOTOCO,SUNPHARMA,ASIANPAINT,CIPLA,POWERGRID,ITC,MARUTI,NTPC,EICHERMOT
5/4/2018,415.8336487,223.8039856,3910.849854,442.5379028,271.8859558,495.2702332,8375.183594,276.1134644,23.56521416,1045.240601,1230.803955,1782.861328,964.2243652,274.6672668,1993.850708,80.05404663,356.1776123,516.9228516,2429.151855,236.0527496,518.8648071,198.1249542,694.8563843,1249.276733,568.9755859,533.8537598,334.3999939,1083.193726,132.7437134,1837.05603,932.5482178,2468.249268,814.5939331,396.0139771,1842.600098,280.5876465,173.2961426,924.7660522,1350.52063,1148.172607,1561.774048,3051.970459,493.4108582,1150.577637,583.0930786,118.0437622,226.7826843,8227.169922,107.1491776,2612.777588
5/7/2018,415.0958252,230.09198,3957.504883,451.1855164,279.0814514,494.8248291,8357.995117,282.2536011,24.20227814,1048.257813,1242.37915,1790.654053,958.84198,281.4161987,1958.73645,80.68640137,357.524231,521.2852783,2468.942383,240.4918671,534.6212158,201.6851959,696.3409424,1267.942383,564.4677124,539.1692505,335.1499939,1063.032349,135.4317169,1874.689331,943.1089478,2491.020752,844.439209,400.0395813,1841.284546,284.720459,170.8049774,941.2944336,1381.604248,1164.114746,1534.942627,3042.213623,489.3621826,1174.546875,577.2816162,119.1251602,230.9558411,8289.266602,106.8983841,2662.732666
5/8/2018,411.4734192,230.9142303,3987.627686,453.7640686,277.5823669,504.7727966,8380.976563,277.9363098,24.19821548,1063.441528,1239.186035,1776.328247,953.8233032,300.3520813,1963.894775,83.12090302,360.1276245,513.5959473,2456.310547,243.9553375,540.7542725,200.2170563,695.2026978,1245.808228,560.9903564,533.1201172,332.1499939,1053.88623,134.8425598,1847.935791,942.2815552,2471.325684,825.0826416,400.4275513,1821.603027,289.7388611,171.2840424,937.5136719,1379.897949,1166.763672,1544.028442,3049.927246,487.2187195,1169.375977,576.8909912,121.0887527,231.3240967,8319.129883,107.4626541,2721.789551
5/9/2018,415.6864014,230.3821564,3891.618408,459.9274597,275.6121826,509.5240173,8383.77832,280.1429138,24.47414589,1065.72876,1248.466064,1771.008667,959.3269653,297.924408,1953.862305,81.60329437,361.2947083,515.8652344,2436.821289,241.9552917,546.9870605,198.3818817,692.7286377,1255.620117,561.6341553,533.9985352,341.9500122,1028.217651,134.6584625,1828.846924,959.4121704,2454.022705,820.1243896,400.9611206,1830.859375,284.4621277,170.7730255,946.8200684,1379.852051,1151.399658,1565.610474,3047.508789,482.1698303,1181.602417,574.3026733,120.5765305,230.9967499,8265.233398,106.8356934,2711.824463
5/10/2018,416.8964539,233.4294586,3923.310547,454.0785217,273.7276917,512.3946533,8255.826172,273.6670227,24.10894966,1063.879395,1244.823853,1767.882324,966.2609863,297.9729614,1883.112793,80.08568573,369.9578857,514.6755371,2430.031982,241.9065094,546.1394043,198.5286713,706.3861694,1243.343872,569.7913208,522.8632202,333.6000061,1007.220581,138.6352539,1817.275146,947.1481323,2415.998779,816.6917725,398.4875183,1836.948853,287.9676208,172.0505676,951.1338501,1371.089478,1146.583374,1548.53772,3040.503662,473.6439209,1176.914795,562.0939331,118.3852692,229.2374725,8252.530273,105.644455,2741.509277
5/11/2018,418.0840454,234.783783,3994.986328,462.4116821,277.3254395,517.9871826,8753.526367,275.8256531,24.64051056,1071.373901,1264.581543,1791.680542,975.498291,301.9543762,1883.964722,80.81286621,347.0655212,520.2937622,2471.198242,244.2480164,551.7738037,200.143631,691.0955811,1266.345093,572.2384033,533.5941772,330.7999878,1027.627563,138.0828857,1841.111206,930.5527954,2405.702393,828.7061157,400.3305664,1845.620361,294.6834412,173.104538,958.986084,1387.322632,1156.601196,1551.095459,3017.404297,449.6854248,1243.361938,560.3358765,117.730751,232.1014404,8295.523438,104.9861221,2761.681152
5/14/2018,414.7002869,234.2033691,4029.769043,458.1664429,281.8654175,534.5177002,8798.017578,245.5087891,24.76630211,1070.741455,1268.872192,1801.759888,980.3474121,301.1289368,1909.756226,78.40998077,343.9683228,524.0612183,2465.062744,247.418808,550.3776855,199.9234314,684.0194092,1261.187988,572.925354,537.6869507,323.6000061,1006.778015,137.8988037,1844.078247,895.4643555,2419.80127,813.020813,397.6630249,1865.837524,298.2996521,172.4976807,956.4171143,1386.815796,1129.581543,1540.596313,3042.421875,451.3525085,1253.896973,565.0239868,118.9828644,233.0424042,8254.472656,107.6193924,2727.890137
5/15/2018,414.5658875,235.9446411,4031.976563,461.1852722,286.5766907,501.3577881,8792.31543,232.7968292,25.39930344,1060.375488,1281.095947,1800.780029,988.1300049,299.3324585,1901.001343,77.96735382,342.8910828,526.3746948,2460.866943,241.9552917,548.1837769,198.9324341,671.895813,1254.296631,575.8447876,538.789978,310.1000061,1024.578979,139.187561,1881.118042,906.1710205,2412.709229,807.6809692,396.8869629,1867.737671,299.4804077,168.313797,949.0012207,1397.837891,1107.618896,1562.514526,3043.506592,446.4465332,1270.617554,562.3867798,121.7148666,230.6285553,8273.053711,106.647583,2752.722412
5/16/2018,412.4370728,231.9299927,3915.657471,456.4998169,288.3327637,492.4986267,8890.007813,231.3097839,25.20859337,1053.513794,1278.651245,1786.780884,981.12323,288.6506958,1887.229736,77.84088135,336.9660034,524.3476563,2500.296631,237.1747284,548.4829102,201.6484833,660.7619019,1243.480713,577.6049194,530.973877,310.25,1012.432861,137.1255188,1898.921021,906.3170776,2402.669189,813.4498291,391.0183716,1876.165527,293.9823303,168.313797,926.8986816,1451.888306,1122.356934,1567.674316,2981.711426,449.3520203,1279.364258,546.8572388,121.4871826,233.9016418,8243.665039,106.5848923,2734.192383
5/17/2018,407.7311707,225.4485321,3883.327881,444.7076416,284.3923645,489.2816467,8983.348633,237.4498901,24.76427078,1054.292358,1267.974121,1749.963623,983.2567139,287.4368286,1871.329224,78.03057098,330.0085144,521.2410889,2470.769531,236.7844849,537.9620361,204.3278198,662.7907104,1237.63916,580.2667236,555.9344482,314.8999939,1000.975525,138.8930054,2043.865723,911.524353,2405.702393,809.5403442,385.9741516,1865.204346,288.2628174,173.4239197,916.4290771,1447.921997,1123.079346,1566.732178,2964.241211,457.1158752,1265.591919,540.8505859,121.4871826,228.2556,8245.467773,104.7666702,2727.952881
